venue_name,identifier,maximumAttendeeCapacity
Kansas State Fairgrounds,jambase:65471,400
Century II Convention Center,jambase:404337,
Fox Pavilion,jambase:3294314,1000
Lake Afton Park,jambase:9639187,
The Red Shed,jambase:7384077,
Winfield Fairgrounds,jambase:569816,
Onyx Event Center,jambase:10535314,
Danenberger Family Vineyards,jambase:6241182,
Effingham Performance Center,jambase:68227,1523
The Cadillac,jambase:10683715,800
Canopy Club,jambase:62354,750
Sangamon Auditorium,jambase:62873,2005
Virginia Theatre,jambase:63397,1463
The City Center,jambase:4670720,
Morgan County Fair Grandstand,jambase:5693858,
Curve Inn,jambase:4793958,
State Farm Center,jambase:343241,15500
Boondocks,jambase:70204,900
Krannert Center for the Performing Arts,jambase:68436,4000
Rose Bowl Tavern,jambase:327423,280
Long Bridge Golf Course,jambase:8511244,
Route 66 Motorheads Bar,jambase:8393195,
Foellinger Auditorium,jambase:569465,
Third Base,jambase:395201,
"Lock, Stock, and Barrel",jambase:334211,
Larson’s Landing,jambase:3117187,
Lincoln Square Theatre,jambase:2631342,1225
Decatur Indoor Sports Center,jambase:11310470,
UIS Performing Arts Center,jambase:10438968,
Walmart AMP,jambase:69913,9500
JJ’s Live,jambase:4236430,2500
Temple Live,jambase:3447355,1200
George’s Majestic,jambase:62264,700
The Momentary,jambase:6280172,4000
Mulberry Mountain,jambase:65418,2000
Choctaw Pocola Casino,jambase:68866,
ArcBest Corporation Performing Arts Center,jambase:2380708,1
Meteor Guitar Gallery,jambase:573533,299
Choctaw Casino & Resort Pocola CenterStage,jambase:2596878,
Crystal Bridges Museum of American Art,jambase:5908234,
Fort Smith Convention Center,jambase:361697,
Victory Theater,jambase:11242673,
Bill George Arena,jambase:11206150,
DECC Auditorium,jambase:73408,6600
Bayfront Festival Park,jambase:65664,15000
Amsoil Arena,jambase:385526,8500
Black Bear Casino Resort,jambase:67514,
Big Top Chautauqua,jambase:62620,900
Myles Reif Performing Arts Center,jambase:363574,700
Duluth Entertainment and Convention Center (DECC),jambase:407217,
Sacred Heart Music Center,jambase:346970,400
The West Theatre,jambase:9882663,
Rapids Brewing Company,jambase:11408280,
Casbah,jambase:62358,200
Belly Up Solana Beach,jambase:62140,400
Voodoo Room at House of Blues,jambase:67682,1000
Soda Bar,jambase:66569,230
The Observatory North Park,jambase:65574,1100
House of Blues,jambase:69803,1000
Brick by Brick,jambase:63558,550
Soma,jambase:64775,2300
Sofar Sounds San Diego,jambase:9610879,
The Sound,jambase:9445389,1900
Magnolia,jambase:397797,1210
The Rady Shell at Jacobs Park,jambase:7592446,10000
Pechanga Arena,jambase:367367,16100
Humphrey’s Backstage Live,jambase:64397,200
Nova SD,jambase:371955,1937
North Island Credit Union Amphitheatre,jambase:70154,20500
Balboa Theatre,jambase:67195,1339
Petco Park,jambase:64579,42445
The Events Center at Harrah’s Rincon,jambase:70382,2200
Winston’s,jambase:62112,220
Events Center at Pala Casino Spa Resort,jambase:7767374,1000
Humphrey’s Concerts By The Bay,jambase:63341,1295
Cal Coast Credit Union Open Air Theatre at SDSU,jambase:68026,4600
Parq Restaurant & Nightclub,jambase:4005271,850
Bloom Nightclub,jambase:8371782,1000
Music Box,jambase:674693,705
San Diego Civic Theatre,jambase:64095,2967
Quartyard,jambase:193442,550
Soma Sidestage,jambase:391943,2300
Viejas Arena,jambase:64138,12414
Bang Bang,jambase:71595,300
The Holding Company,jambase:2948909,660
Moonshine Beach,jambase:3565609,1200
Sofar Sounds Gaslamp,jambase:9587310,
Sycuan Resort & Casino,jambase:67578,1200
The Loft @ UCSD,jambase:372965,223
Concerts in the Park at Viejas Casino & Resort,jambase:7679049,4800
Epstein Family Amphitheater,jambase:9237880,2850
Humble Heart,jambase:10663025,
Waterfront Park,jambase:340360,15000
Whistle Stop,jambase:192568,75
Viejas Casino,jambase:357486,1200
Ramona Mainstage,jambase:69165,
Spin Nightclub,jambase:66717,750
Lafayette Hotel And Suites,jambase:389499,
Port Pavilion on Broadway Pier,jambase:2270340,
Sofar Sounds La Jolla,jambase:9198845,
Moonlight Amphitheater,jambase:397827,
Rich’s,jambase:3910806,
Seaport Village,jambase:376308,
Museum of Contemporary Art,jambase:325249,
Del Mar Social,jambase:11440134,
julian library,jambase:11331726,
Belmont Park,jambase:11236929,
Pour House Oceanside,jambase:10237708,
Wicked West,jambase:10146813,
Toyota Center,jambase:66837,6000
Capitol Theatre,jambase:64952,
The Emerald Of Siam,jambase:69676,75
Wildhorse Resort & Casino,jambase:364601,
Yakima Nation Legends Casino,jambase:363033,2500
Jim Sprick Community Park,jambase:72873,
Happy Canyon Arena,jambase:413849,
Argyros Performing Arts Center,jambase:8261436,
Twin Falls County Fair,jambase:569638,
Beat Kitchen,jambase:62441,275
Symphony Hall,jambase:62390,
Subterranean,jambase:62252,400
Thalia Hall,jambase:70930,840
Empty Bottle,jambase:63794,300
Evanston SPACE,jambase:67263,250
House of Blues,jambase:62183,1800
Bottom Lounge,jambase:62223,700
Concord Music Hall,jambase:71899,1490
Cobra Lounge,jambase:69451,300
FitzGerald’s,jambase:62277,400
Rosemont Theatre,jambase:63740,4400
Lincoln Hall,jambase:71488,507
Allstate Arena,jambase:62129,18500
Metro,jambase:63793,1100
City Winery,jambase:68372,300
Reggie’s Rock Club,jambase:66024,400
Vinny’s Clam Bar,jambase:10997617,
The Vic Theatre,jambase:62071,1000
The Riviera Theatre,jambase:62355,2500
United Center,jambase:64671,23500
The Forge,jambase:3074568,950
Sleeping Village,jambase:4539620,300
Kingston Mines,jambase:64123,500
The Genesee Theatre,jambase:64790,2403
Joe’s On Weed Street,jambase:69508,1500
Sound Bar,jambase:402989,1200
Impact Fuel Room,jambase:69068,850
Prysm Nightclub,jambase:2901723,850
Spybar,jambase:192586,300
the PIAZZA,jambase:7506429,1400
Radius,jambase:6096749,3800
Byline Bank Aragon Ballroom,jambase:62076,5000
